"lat","mean_overpasses","min_overpasses","max_overpasses"
-83.5,0.612382629107981,0.520833333333333,0.708333333333333
-83.25,2.69372106481481,1.63541666666667,2.8125
-83,5.21643518518519,3.97916666666667,5.33333333333333
-82.75,7.3091724537037,6.32291666666667,7.4375
-82.5,9.34765625,8.26041666666667,9.52083333333333
-82.25,11.4280960648148,10.34375,11.625
-82,13.5512152777778,12.5208333333333,13.8125
-81.75,15.7400173611111,14.6770833333333,15.9375
-81.5,17.7718460648148,16.8020833333333,17.9375
-81.25,19.7058738425926,18.8229166666667,19.9375
-81,21.619212962963,20.6875,21.7916666666667
-80.75,23.5199652777778,22.625,23.7708333333333
-80.5,25.4333043981481,24.5729166666667,25.6875
-80.25,27.345775462963,26.375,27.5416666666667
-80,29.2847222222222,28.2916666666667,29.5
-79.75,29.7825520833333,29.4479166666667,30.0833333333333
-79.5,29.6569733796296,29.4583333333333,29.9166666666667
-79.25,29.7391493055556,29.5,30
-79,29.7541956018519,29.4166666666667,30.0625
-78.75,29.6678240740741,29.3958333333333,29.8958333333333
-78.5,29.6521990740741,29.2916666666667,29.8958333333333
-78.25,29.7165798611111,29.4791666666667,29.9791666666667
-78,29.8004918981481,29.5,30.0625
-77.75,29.7964409722222,29.5833333333333,30.0833333333333
-77.5,29.2743055555556,29.0208333333333,29.5833333333333
-77.25,28.4593460648148,28.1666666666667,28.9479166666667
-77,27.5833333333333,27.3125,28.0625
-76.75,26.5690104166667,26.1458333333333,27.0729166666667
-76.5,25.4918981481481,25.2083333333333,26.1041666666667
-76.25,24.353587962963,24.0833333333333,24.875
-76,23.1362847222222,22.8958333333333,23.7083333333333
-75.75,21.8689236111111,21.6041666666667,22.6041666666667
-75.5,20.5844907407407,20.3333333333333,21.2291666666667
-75.25,19.6449652777778,19.2708333333333,19.9583333333333
-75,18.8447627314815,18.5833333333333,19.1979166666667
-74.75,18.1676793981481,17.8958333333333,18.4895833333333
-74.5,17.5623553240741,17.3541666666667,17.7916666666667
-74.25,17.0054976851852,16.7083333333333,17.3125
-74,16.5004340277778,16.25,16.7291666666667
-73.75,16.0403645833333,15.7916666666667,16.3541666666667
-73.5,15.6096643518519,15.2708333333333,15.9791666666667
-73.25,15.2125289351852,15,15.5625
-73,14.8343460648148,14.4583333333333,15.1145833333333
-72.75,14.4858217592593,14,14.9166666666667
-72.5,14.1650752314815,13.7083333333333,14.6875
-72.25,13.8615451388889,13.6041666666667,14.125
-72,13.5776909722222,13.2291666666667,13.875
-71.75,13.2815393518519,12.8958333333333,13.625
-71.5,13.0114293981481,12.6666666666667,13.3854166666667
-71.25,12.7838541666667,12.6458333333333,12.9791666666667
-71,12.5462962962963,12.1875,12.8958333333333
-70.75,12.3100405092593,11.9375,12.6666666666667
-70.5,12.0899884259259,11.7708333333333,12.4375
-70.25,11.8833912037037,11.6041666666667,12.1458333333333
-70,11.6834490740741,11.5416666666667,11.8541666666667
-69.75,11.4924768518519,11.2291666666667,11.7291666666667
-69.5,11.3100405092593,11.0833333333333,11.5208333333333
-69.25,11.1335358796296,10.9583333333333,11.3541666666667
-69,10.9658564814815,10.8125,11.1666666666667
-68.75,10.7967303240741,10.625,11
-68.5,10.6456886574074,10.4166666666667,10.8541666666667
-68.25,10.4827835648148,10.3125,10.6875
-68,10.3433159722222,10.1458333333333,10.5833333333333
-67.75,10.1906828703704,10,10.4583333333333
-67.5,10.0557002314815,9.89583333333333,10.2291666666667
-67.25,9.91796875,9.75,10.1041666666667
-67,9.78703703703704,9.625,9.95833333333333
-66.75,9.6673900462963,9.5,9.8125
-66.5,9.53515625,9.39583333333333,9.70833333333333
-66.25,9.42737268518519,9.25,9.5625
-66,9.30324074074074,9.16666666666667,9.45833333333333
-65.75,9.19965277777778,9,9.35416666666667
-65.5,9.08275462962963,8.91666666666667,9.22916666666667
-65.25,8.98119212962963,8.85416666666667,9.14583333333333
-65,8.87094907407407,8.72916666666667,9.04166666666667
-64.75,8.76924189814815,8.625,8.91666666666667
-64.5,8.671875,8.45833333333333,8.91666666666667
-64.25,8.58796296296296,8.39583333333333,8.75
-64,8.48871527777778,8.29166666666667,8.64583333333333
-63.75,8.40248842592593,8.22916666666667,8.5625
-63.5,8.30960648148148,8.125,8.41666666666667
-63.25,8.23278356481481,8.04166666666667,8.39583333333333
-63,8.13498263888889,7.95833333333333,8.25
-62.75,8.06655092592593,7.89583333333333,8.25
-62.5,7.97540509259259,7.79166666666667,8.16666666666667
-62.25,7.90914351851852,7.6875,8.0625
-62,7.83579282407407,7.66666666666667,8.02083333333333
-61.75,7.75824652777778,7.47916666666667,8.04166666666667
-61.5,7.68287037037037,7.4375,7.9375
-61.25,7.60402199074074,7.5,7.79166666666667
-61,7.53993055555556,7.375,7.6875
-60.75,7.46846064814815,7.33333333333333,7.64583333333333
-60.5,7.41131365740741,7.20833333333333,7.54166666666667
-60.25,7.34678819444444,7.20833333333333,7.52083333333333
-60,7.28761574074074,7.14583333333333,7.4375
-59.75,7.21484375,7.04166666666667,7.35416666666667
-59.5,7.15335648148148,7.02083333333333,7.33333333333333
-59.25,7.08839699074074,6.9375,7.27083333333333
-59,7.03110532407407,6.89583333333333,7.22916666666667
-58.75,6.97757523148148,6.85416666666667,7.16666666666667
-58.5,6.92476851851852,6.77083333333333,7.125
-58.25,6.86921296296296,6.66666666666667,7
-58,6.8119212962963,6.6875,6.95833333333333
-57.75,6.75896990740741,6.52083333333333,6.89583333333333
-57.5,6.70384837962963,6.54166666666667,6.8125
-57.25,6.65552662037037,6.52083333333333,6.79166666666667
-57,6.60633680555556,6.47916666666667,6.75
-56.75,6.55960648148148,6.41666666666667,6.6875
-56.5,6.51215277777778,6.375,6.625
-56.25,6.4564525462963,6.25,6.60416666666667
-56,6.41579861111111,6.29166666666667,6.54166666666667
-55.75,6.37094907407407,6.27083333333333,6.47916666666667
-55.5,6.32638888888889,6.16666666666667,6.47916666666667
-55.25,6.27430555555556,6.10416666666667,6.4375
-55,6.22887731481481,6.0625,6.39583333333333
