"lat","mean_overpasses","min_overpasses","max_overpasses"
-82.5,10.398365162037,10.2,10.5697916666667
-80,28.7803566261574,28.4524479166667,29.0870833333333
-77.5,28.9406597222222,28.7317708333333,29.1828645833333
-75,19.021997974537,18.7419270833333,19.2780729166667
-72.5,14.2365451388889,13.9852604166667,14.5386458333333
-70,11.7032429108796,11.5267708333333,11.8928125
-67.5,10.0636928530093,9.91354166666667,10.2671875
-65,8.88630714699074,8.68739583333333,9.050625
-62.5,7.98157118055556,7.81015625,8.11661458333333
-60,7.28220558449074,7.14390625,7.38104166666667
-57.5,6.71192491319444,6.57005208333333,6.83041666666667
-55,6.23001374421296,6.07994791666667,6.40223958333333
-52.5,5.83505425347222,5.69807291666667,5.96052083333333
-50,5.50287037037037,5.36411458333333,5.64739583333333
-47.5,5.21849898726852,5.10526041666667,5.37911458333333
-45,4.96779152199074,4.84333333333333,5.123125
-42.5,4.74896918402778,4.60515625,4.87609375
-40,4.56036747685185,4.47395833333333,4.65390625
-37.5,4.40148943865741,4.29234375,4.51583333333333
-35,4.25303023726852,4.1625,4.33739583333333
-32.5,4.12369212962963,4.05609375,4.22708333333333
-30,4.00491536458333,3.92604166666667,4.11703125
-27.5,3.91014539930556,3.79229166666667,4.02963541666667
-25,3.82204137731481,3.70302083333333,3.93739583333333
-22.5,3.74960286458333,3.62260416666667,3.90567708333333
-20,3.68476345486111,3.56755208333333,3.80260416666667
-17.5,3.62833550347222,3.53510416666667,3.76161458333333
-15,3.57945095486111,3.525,3.69822916666667
-12.5,3.54383318865741,3.46052083333333,3.62192708333333
-10,3.50820674189815,3.426875,3.61104166666667
-7.5,3.48212384259259,3.38510416666667,3.58015625
-5,3.46637225115741,3.32760416666667,3.60885416666667
-2.5,3.45528862847222,3.29302083333333,3.57765625
0,3.44964626736111,3.36421875,3.53453125
2.5,3.45223668981481,3.31171875,3.59166666666667
5,3.467890625,3.31088541666667,3.62473958333333
7.5,3.47919343171296,3.38625,3.57708333333333
10,3.50775607638889,3.40010416666667,3.63536458333333
12.5,3.54256004050926,3.43265625,3.61598958333333
15,3.57515625,3.50208333333333,3.65942708333333
17.5,3.62263020833333,3.52979166666667,3.69703125
20,3.67898943865741,3.56859375,3.80114583333333
22.5,3.7413548900463,3.58046875,3.85182291666667
25,3.82034215856482,3.73588541666667,3.97473958333333
27.5,3.90183810763889,3.80083333333333,4.03833333333333
30,4.00237413194444,3.85526041666667,4.10385416666667
32.5,4.11385850694445,4.05760416666667,4.22765625
35,4.24053168402778,4.16567708333333,4.33776041666667
37.5,4.38478587962963,4.29234375,4.50026041666667
40,4.54945529513889,4.46791666666667,4.66984375
42.5,4.73697844328704,4.62583333333333,4.85130208333333
45,4.94603298611111,4.83192708333333,5.06463541666667
47.5,5.20179108796296,5.07697916666667,5.38213541666667
50,5.48730179398148,5.39359375,5.58057291666667
52.5,5.81732638888889,5.64932291666667,5.97026041666667
55,6.21102719907407,6.07395833333333,6.36578125
57.5,6.68351200810185,6.55973958333333,6.82161458333333
60,7.24959924768519,7.06776041666667,7.34760416666667
62.5,7.94683666087963,7.77338541666667,8.0803125
65,8.83425491898148,8.66380208333333,8.96572916666667
67.5,10.0053233506944,9.83588541666667,10.2592708333333
70,11.6499103009259,11.48953125,11.8528645833333
72.5,14.1440277777778,13.8025,14.5939583333333
75,18.8963006365741,18.7434375,19.0553125
77.5,28.9407819733796,28.7329166666667,29.1888541666667
80,28.2601374421296,28.081875,28.4786458333333
82.5,9.29969618055556,9.14911458333333,9.40255208333333
85,8.30509259259259,8.15520833333333,8.41458333333333
