lat,DAYNIGHT,misclassified_count,total_count,pct_misclassified
55,N,2063,301062,0.6852409138317025
60,N,46343,327013,14.171607856568393
65,N,129761,294424,44.07283373638019
70,N,6717,11666,57.5775758614778
